id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,desciription,imageDescription
361,sweet tooth,Alcoholic,shake,highball glass,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.",https://www.thecocktaildb.com/images/media/drink/j6rq6h1503563821.jpg,"['godiva liqueur','milk']","['2 shots', none]","Sweet Tooth belongs to the?Cream Cocktail?family, known for their velvety texture and rich flavors. This drink likely originated in the early 20th century, drawing inspiration from the popularity of chocolate liqueurs and milk-based cocktails like the White Russian.","The cocktail is light brown with a creamy layer on top, resembling eggnog, served in a clear tumbler with the word ""His"" inscribed on it."
362,screwdriver,Alcoholic,ordinary drink,highball glass,Mix in a highball glass with ice. Garnish and serve.,https://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,"['vodka','orange juice']","['2 oz', none]","The Screwdriver, a simple blend of vodka and orange juice, belongs to the Highball family, characterized by their tall, mixed-drink format. Its origin is debated, but most agree it emerged in the mid-20th century, possibly among American oil workers in the Middle East.","The vibrant yellow drink sits elegantly in a highball glass, garnished with slices of orange peel for a fresh citrus flair. The cocktail is served on a round wooden coaster surrounded by thickly sliced oranges, highlighting its natural citrus theme."
363,sherry flip,Alcoholic,ordinary drink,nick and nora glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,"['sherry','light cream','powdered sugar','egg','nutmeg']","['1 1/2 oz cream','2 tsp','1 tsp','1 whole', none]","The Sherry Flip is a dessert-style cocktail made with sherry wine, eggs, and sugar, resulting in a smooth and rich flavor. ""Flip"" is a general term for cocktails made with spirits or wine, often combined with eggs and sugar. The Sherry Flip, in particular, uses sherry wine as its base.","The cocktail is a vibrant light golden color, topped with a thin layer of foam dusted with cinnamon for a hint of warmth. Served elegantly in a coupe glass, it promises a smooth and refined drinking experience."
364,sol y sombra,Alcoholic,ordinary drink,brandy snifter,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",https://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,"['brandy','anisette']","['1 1/2 oz','1 1/2 oz']","Sol Y Sombra is a simple yet flavorful cocktail originating in Madrid, Spain. Made with equal parts brandy and anise liqueur, this digestif is named after the Spanish word for ""sun and shadow.""","The cocktail has a rich amber hue, suggesting it is likely a brandy-based drink, possibly an old-fashioned or cognac cocktail. It is served in a classic snifter glass, which enhances its elegant appearance and allows for a controlled pour to showcase the drink's color."
365,shark attack,Alcoholic,cocktail,pitcher,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,https://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,"['lemonade','water','vodka']","['1 can','3 cans','1 1/2 cup']","The Shark Attack is a simple, refreshing highball, similar to a Vodka Soda with a twist. While its origins are unknown, the combination of vodka and lemonade likely draws inspiration from classic cocktails like the Vodka Sour or the Moscow Mule, which utilize these flavors in a more complex fashion.","The refreshing cocktail is served in a tall highball glass filled with ice, and garnished with a bright yellow lemon wheel, making it visually appealing and ready to quench any thirst."
366,san francisco,Alcoholic,ordinary drink,highball glass,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",https://www.thecocktaildb.com/images/media/drink/szmj2d1504889961.jpg,"['vodka','creme de banane','grenadine','orange juice']","['2 cl','2 cl', none, none]","The San Francisco is a bright and fruity cocktail belonging to the Sour family. It��s a modern twist on the classic Whiskey Sour, with vodka replacing whiskey and the addition of banana liqueur and grenadine for a tropical flair.","The vibrant orange and amber-colored beverage is served in a highball glass, topped with ice cubes and garnished with juicy red berries and a purple straw."
367,space odyssey,Alcoholic,ordinary drink,highball glass,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,https://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,"['151 proof rum','malibu rum','pineapple juice','orange juice','grenadine','cherries']","['1 shot bacardi','1 shot','1 shot', none, none, none]","The Space Odyssey is a tropical cocktail, drawing heavily on the classic Rum Runner family. Its sweet, fruity profile likely emerged in the 1970s, when tropical cocktails gained popularity, reflecting the space race era��s fascination with the unknown.","The vibrant orange hued cocktail is served in a clear glass, garnished with a pink umbrella and a red cherry, creating a festive beachy vibe. The drink sits perfectly amidst the sandy surface, adding a playful touch to the overall presentation."
368,sherry eggnog,Alcoholic,ordinary drink,collins glass,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",https://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,"['sherry','powdered sugar','egg','milk','nutmeg']","['2 oz cream','1 tsp','1 whole', none, none]","Sherry Eggnog is a winter cocktail that adds the flavor of traditional eggnog to sherry wine. It's creamy and smooth, yet the unique, complex, nutty flavors of sherry wine add depth and richness to the drink.","The cocktail features a creamy yellow hue, topped with a delicate dusting of cinnamon for a hint of warm spice. Poured into a small, elegant shot glass, it exudes a rustic charm perfect for a cozy evening."
369,sweet bananas,Non alcoholic,shake,highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/sxpcj71487603345.jpg,"['milk','banana','honey']","['2 cups','1','1 tblsp']","Sweet Bananas belongs to the?Milk Punch family, a historical cocktail category featuring milk and spirits. While its exact origin is unknown, milk punches have been enjoyed for centuries, likely originating in colonial America. This simple yet delightful drink is a refreshing take on this classic style.",The cocktail is a vibrant yellow-orange smoothie with banana slices garnished around the jars and white polka-dotted straws sticking out. It is served in clear mason jars which provide a rustic yet elegant presentation against the brown napkin.
370,sweet sangria,Alcoholic,punch / party drink,pitcher,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.",https://www.thecocktaildb.com/images/media/drink/uqqvsp1468924228.jpg,"['red wine','sugar','water','apple','orange','lime','lemon','fresca']","['2 bottles','1 cup','2 cups hot','1 cup','wedges','wedges', none, none]","Sweet Sangria, a vibrant fruit-infused beverage, belongs to the Sangria family, a traditional Spanish drink. It��s a modern variation of the classic, incorporating Fresca for a unique twist on the traditional citrus profile.","The vibrant red-colored cocktail is served in a wide, stemless wine glass, garnished with a lime wedge and slices of strawberry, creating a refreshing and inviting presentation."
371,thriller,Alcoholic,ordinary drink,cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,"['scotch','wine','orange juice']","['1 1/2 oz','1 oz green ginger','1 oz']","The Thriller likely belongs to the?Highball?family, characterized by their tall, mixed drink format. While its specific origin is unknown, the combination of Scotch, wine, and orange juice suggests a unique twist on the classic Scotch and Soda with a fruity touch, perhaps inspired by the Whiskey Sour tradition.","The vibrant red drink is presented in two clear glasses, filled with a bubbly texture and topped with a layer of foam, suggesting the presence of carbonation."
372,the galah,Alcoholic,cocktail,collins glass,Mix together the alcoholic portions and top with Pineapple and Lime juice.,https://www.thecocktaildb.com/images/media/drink/sy7y6r1614775067.jpg,"['dark rum','campari','creme de banane','pineapple juice','lime juice']","['1 shot','1 shot','1/2 shot','top','top']","The Galah, with its rum base, bitter Campari, sweet banana liqueur, and tropical fruit juices, is a vibrant take on the classic Tiki cocktail family. While its specific origin is unclear, its flavors evoke the spirit of Polynesian-inspired cocktails that gained popularity in the mid-20th century.","The cocktail is a vibrant pink hue, served in a rocks glass with a frothy white rim. The drink is topped with shredded coconut as a garnish."
373,tia-maria,Alcoholic,homemade liqueur,collins glass,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.",https://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg,"['water','brown sugar','coffee','rum','vanilla extract']","['1 cup','3/4-1 cup','4 tsp','1 cup','4 tsp']","Tia Maria isn't exactly the name of a cocktail, but rather the coffee liqueur used as an ingredient. Made with a base of Jamaican rum, it's blended with 100% Arabica coffee beans, vanilla, and other ingredients. It boasts a rich coffee aroma, less sweetness than Kahlua, and a stronger coffee flavor.","The drink features a dark red layer with a creamy milk foam topping, decorated with coffee beans in a martini glass."
374,tipperary,Alcoholic,cocktail,nick and nora glass,"Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist.",https://www.thecocktaildb.com/images/media/drink/b522ek1521761610.jpg,"['irish whiskey','sweet vermouth','green chartreuse']","['2 oz','1 oz','1/2 oz']","Tipperary is a member of the Whiskey Sour family, a sophisticated twist on the classic. Born in Dublin around 1910, this cocktail blends the boldness of Irish whiskey with the herbal sweetness of green Chartreuse and vermouth, a timeless combination for a balanced, refreshing drink.","The vibrant reddish-orange cocktail sits elegantly in a short, round glass with a flared rim, showcasing a sophisticated and inviting presentation. The liquid glints subtly under the ambient light, enhancing its rich color and suggesting a perfect blend of flavors."
375,turkeyball,Alcoholic,shot,shot glass,Shake with ice and strain into a shot glass.,https://www.thecocktaildb.com/images/media/drink/rxurpr1441554292.jpg,"['wild turkey','amaretto','pineapple juice']","['1 oz','3/4 oz','1 splash']","The Turkeyball is a sweet and smooth cocktail made with Wild Turkey bourbon whiskey, amaretto, and pineapple juice. The name ""Turkeyball"" likely derives from the base bourbon, Wild Turkey.","The drink is presented in a short, wide rocks glass, showcasing a vibrant golden hue, likely a whiskey-based cocktail. It is garnished with what appears to be a slice of red fruit, possibly apple or cherry, adding a fresh pop of color against the drink's golden backdrop."
376,texas sling,Alcoholic,shake,wine glass,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",https://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,"['kahlua','irish cream','amaretto','151 proof rum','cream']","['1/2 oz','1/2 oz','1/2 oz','1/2 oz bacardi','1 oz']","The Texas Sling belongs to the Coffee Cocktail family, a category of drinks featuring coffee liqueur. This particular concoction likely originated in the 1980s, born from the era��s love for sweet, layered cocktails.","The cocktail features a smooth, creamy beige liquid with a frothy top, served elegantly in a wide-rimmed glass that highlights its golden hue against the soft light from behind."
377,thai coffee,Non alcoholic,coffee / tea,highball glass,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.",https://www.thecocktaildb.com/images/media/drink/wquwxs1441247025.jpg,"['coffee','coriander','cardamom','sugar','whipping cream','ice']","['6 tblsp ground','1/4 tsp','4-5 whole green', none, none, none]","Thai Coffee, though not a traditional cocktail, draws inspiration from the?Coffee Cocktail?family. It��s a modern twist on Southeast Asian coffee culture, blending strong coffee with spices like coriander and cardamom, often found in Thai cuisine. The addition of whipped cream offers a touch of indulgence.","The drink on the left features a dark caramel hue with a layer of amber on top, garnished with a single straw, presented in a tall, tapered glass. The beverage on the right showcases a light creamy color, slightly darker than milk but lighter than coffee, with small ice cubes and a similar straw garnish, served in a wide, tall glass that accentuates its frothy texture."
378,tom collins,Alcoholic,ordinary drink,collins glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",https://www.thecocktaildb.com/images/media/drink/7cll921606854636.jpg,"['gin','lemon juice','sugar','club soda','maraschino cherry','orange']","['2 oz','1 oz','1 tsp superfine','3 oz','1','1']","The Tom Collins is a classic gin sour, a cocktail family known for its tart, refreshing flavors. Its origin is debated, with claims ranging from a 19th-century New York bartender to a British comedian��s joke.","The cocktail is a light tan in color with a small garnish of a lemon wedge and an olive placed in ice, presented in a highball glass."
379,tomato tang,Non alcoholic,other / unknown,highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,"['tomato juice','lemon juice','celery salt']","['2 cups','1-2 tblsp','1 dash']","The Tomato Tang belongs to the?savory cocktail?family, a category that emerged in the early 20th century. Its simplicity suggests an American origin, likely born during the Prohibition era, when resourceful bartenders experimented with readily available ingredients.","The beverage is a deep brown margarita served in a tall glass with a salted rim, garnished with a lime slice on the edge. A striped straw adds a playful touch to the presentation."
380,talos coffee,Alcoholic,coffee / tea,brandy snifter,Add your GM and then add your coffee.,https://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,"['grand marnier','coffee']","['3 parts','1 part']","The Talos Coffee belongs to the classic Coffee Cocktail family, drawing inspiration from the timeless tradition of pairing coffee with liqueurs. This drink��s origins remain shrouded in mystery, but it likely emerged in the 20th century, reflecting the rising popularity of coffee-based cocktails.","The dark amber cocktail, served in a clear glass mug adorned with floral etchings, features a single golden stick as a sophisticated garnish. Its rich color suggests a complex mix of spirits, possibly including tequila, mezcal, or dark rum."
381,tennesee mud,Alcoholic,coffee / tea,coffee mug,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.",https://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,"['coffee','jack daniels','amaretto','whipped cream']","['8 oz','4 oz','4 oz', none]","The Tennessee Mud, a blend of coffee, Jack Daniel��s, amaretto, and whipped cream, falls into the coffee cocktail family. While its exact origin is unknown, it likely emerged in the American South, a region known for its love of both coffee and whiskey.","The dark, rich brown liquid inside the clear glass mug hints at a robust coffee-based cocktail. A generous dollop of whipped cream crowns the drink, adding a creamy contrast to the deep brew below."
382,tequila fizz,Alcoholic,ordinary drink,collins glass,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg,"['tequila','lemon juice','grenadine','egg white','ginger ale']","['2 oz','1 tblsp','3/4 oz','1', none]","The Tequila Fizz is a member of the Fizz family, known for their lively carbonation and citrusy profiles. Born in the early 20th century, this tequila-based iteration likely emerged in the American Southwest, combining the spirit��s popularity with the Fizz��s existing structure.","The cocktail features a vibrant orange liquid in a highball glass, complemented by a few ice cubes and a small sprig of mint as garnish."
383,tequila sour,Alcoholic,ordinary drink,whiskey sour glass,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg,"['tequila','lemon','powdered sugar','lemon','cherry']","['2 oz','juice of 1/2','1 tsp','1/2 slice','1']","The Tequila Sour is a classic Sour cocktail, a family known for its tangy, citrusy base. While its exact origin is murky, it likely emerged in the early 20th century, as tequila gained popularity in the U.S., adapting the classic Whiskey Sour recipe.","The drink in a classic rocks glass features a vibrant orange-colored liquid, garnished with a lemon twist and several ice cubes for a refreshing touch."
384,thai iced tea,Non alcoholic,coffee / tea,highball glass,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.",https://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,"['tea','water','condensed milk','ice','mint']","['1/4 cup thai','1/2 cup boiling','2 tsp sweetened','cubes','garnish']","This refreshing drink isn��t technically a cocktail, but rather a popular Thai beverage. It falls under the?Sweetened Tea?family, originating in Thailand as a street food staple. The use of condensed milk and ice makes it a cool and satisfying treat perfect for the hot climate.","The iced beverage features a vibrant two-toned color, with a rich, orange-colored upper layer and a dark, possibly cola-infused bottom layer, served over ice in clear glasses, perfect for a tropical twist on a classic drink."
385,the last word,Alcoholic,cocktail,cocktail glass,Shake with ice and strain into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/91oule1513702624.jpg,"['green chartreuse','maraschino liqueur','lime juice','gin']","['1 oz','1 oz','1 oz','1 oz']","The Last Word is a classic sour cocktail, a family known for its tart, refreshing flavors. Created in the 1920s at the Detroit Athletic Club, it��s a potent blend of green Chartreuse, maraschino liqueur, lime juice, and gin, making it a sophisticated and complex drink.","The cocktail appears as a light green, possibly a gimlet, served in a delicate stemmed glass, garnished with a slice of lime."
386,turf cocktail,Alcoholic,ordinary drink,cocktail glass,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,https://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg,"['dry vermouth','gin','anis','bitters','orange peel']","['1 oz','1 oz','1/4 tsp','2 dashes','twist of']","The Turf Cocktail is a classic dry Martini variation. Its origin is shrouded in mystery, likely dating back to the early 20th century. The addition of anise and bitters to the traditional gin and vermouth base adds complexity and intrigue to this sophisticated drink.","The cocktail boasts a rich amber hue, garnished with a vibrant orange twist, presented elegantly in a ribbed glass."
387,the laverstoke,Alcoholic,cocktail,balloon glass,"1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix. 2) Fully fill the glass with cubed ice and stir to chill. 3) Top with Fever-Tree Ginger Ale and gently stir again to combine. 4) Garnish with a snapped ginger slice and an awoken mint sprig.",https://www.thecocktaildb.com/images/media/drink/6xfj5t1517748412.jpg,"['gin','elderflower cordial','rosso vermouth','tonic water','lime','ginger','mint']","['50 ml','15 ml','15 ml','75 ml','2 wedges','1 slice','1 large sprig']","The Laverstoke, a refreshing and complex gin cocktail, belongs to the?Gin & Tonic family. Its origin likely draws inspiration from the classic Gin & Tonic, adding layers of floral notes, herbal bitterness and a touch of spice, making it a modern twist on a time-honored classic.","The cocktail is a vibrant golden hue, served in a stemmed glass garnished with mint leaves and a fresh lime wedge. Ice cubes float gently within, adding to its refreshing appeal."
388,tequila slammer,Alcoholic,shot,hurricane glass,Mix carefully to avoid releasing the dissolved CO2.,https://www.thecocktaildb.com/images/media/drink/43uhr51551451311.jpg,"['tequila','7-up']","['1 shot','1 part']","The Tequila Slammer is a unique cocktail made by mixing tequila and soda and then hitting the glass to create foam. Also known as the ""Shotgun,"" it's a great drink to enjoy with a large group in a lively atmosphere.","The frothy, pale yellow cocktail with a light layer of foam sits elegantly in a lowball glass, ready for sipping. The accompanying shot glass contains a similarly colored drink, suggesting a complementary flavor pairing."
389,tequila sunrise,Alcoholic,cocktail,highball glass,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",https://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,"['tequila','orange juice','grenadine']","['2 measures', none, none]","The Tequila Sunrise is a member of the Sunrise family, characterized by layered liqueurs creating a colorful gradient. Born in the 1970s, it was popularized by the band The Eagles and remains a classic for its simple yet visually striking appeal.","The drink has a vibrant gradient of colors, transitioning from orange at the top to deep red at the bottom. It is served in a rocks glass, garnished with cherries and an umbrella skewer for a tropical flair."
390,the philosopher,Alcoholic,cocktail,margarita glass,"Add all the spirits in a shaker (best to use Hendricks gin) as well as the orange bitters and lemon juice. Strain into a Margarita glass, top with Prosecco.",https://www.thecocktaildb.com/images/media/drink/sp8hkp1596017787.jpg,"['gin','melon liqueur','orange bitters','lemon juice','prosecco']","['1 shot','1 shot','1 dash','1 dash','top']","The Philosopher is a twist on the classic Fizz family. It��s a modern concoction, likely born in a contemporary bar scene, combining the bracing gin and citrus base with the sweetness of melon liqueur, the complexity of bitters, and the celebratory effervescence of Prosecco.","The cocktail presents a creamy white color in its elegant, coupe glass, garnished with sprigs of fresh rosemary that add a touch of green against the drink's smooth surface."
391,tuxedo cocktail,Alcoholic,ordinary drink,cocktail glass,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,https://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg,"['dry vermouth','gin','maraschino liqueur','anis','orange bitters','cherry']","['1 1/2 oz','1 1/2 oz','1/4 tsp','1/4 tsp','2 dashes','1']","The Tuxedo Cocktail is a classic member of the Martini family, dating back to the early 20th century. Its origins are shrouded in mystery, but it��s likely a variation on the Martinez, with the addition of maraschino liqueur and anise adding a sweet, herbal complexity.","The cocktail is a classic martini served in a standard martini glass, featuring a vibrant red olive garnish alongside a yellow lemon twist. The crystal-clear liquid fills the glass almost to the brim, showcasing its purity."
392,tequila surprise,Alcoholic,shot,shot glass,Fill shot glass with Tequila. Add drops of Tobasco sauce.,https://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,"['tequila','tabasco sauce']","['full glass','about 8 drops']","Tequila Surprise is a tequila-based cocktail that surprises with its diverse flavor combinations, ranging from sweet and refreshing to spicy. There's no set recipe, and many recipes involve mixing various ingredients. As its name suggests, it's characterized by offering the ""unexpected"" pleasure to those who enjoy it.","The layered cocktail displays three distinct colors, with a bottom layer of dark red, a middle band of vibrant orange, and a top layer of a lighter amber hue, creating a striking visual presentation. The drink is served in a square shot glass, which complements the colorful layers beautifully against the dark backdrop."
393,thai iced coffee,Non alcoholic,coffee / tea,highball glass,"Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee.",https://www.thecocktaildb.com/images/media/drink/rqpypv1441245650.jpg,"['coffee','sugar','cream','cardamom']","['black', none,'pods', none]","Thai Iced Coffee, a refreshing blend of coffee, sugar, cream, and cardamom, is a delightful member of the?Coffee Cocktail?family. Originating in Thailand, this beloved beverage reflects the country��s rich culinary history and love for strong coffee, sweetened with condensed milk and often spiced with aromatic cardamom.","The iced coffee is served in a mason jar, featuring a rich layering of dark coffee and frothy milk with a generous topping of ice cubes for cooling effect. The vibrant red and white striped straw adds a playful touch to its presentation."
394,the jimmy conway,Alcoholic,cocktail,whiskey sour glass,Fill glass with ice Pour in The Irishman and Disaronno Fill to the top with Cranberry Juice Garnish with a slice of lemon enjoy!,https://www.thecocktaildb.com/images/media/drink/wbcvyo1535794478.jpg,"['irish whiskey','amaretto','cranberry juice']","['50 ml','50 ml','4 oz']","The Jimmy Conway is a riff on the classic Whiskey Sour family, utilizing the sweet, nutty notes of Amaretto to complement the Irish Whiskey base. While its exact origin is unknown, the blend of Irish whiskey, sweet liqueur, and tart juice is reminiscent of the popular Irish Coffee and Irish Cream drinks.","The cocktail is presented in a classic martini glass, filled with a rich mahogany liquid, garnished with a twist of citrus peel resting on the rim for an elegant touch."
395,texas rattlesnake,Alcoholic,shot,highball glass,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end.",https://www.thecocktaildb.com/images/media/drink/rtohqp1504889750.jpg,"['yukon jack','cherry brandy','southern comfort','sweet and sour']","['1 part','1/2 part','1 part','1 splash']","The Texas Rattlesnake is a bold yet sweet cocktail made with a blend of various spirits and juices. True to its name, it boasts a strong, memorable flavor and gained popularity in the American South in the 1970s.",The vibrant yellow cocktail in the highball glass is filled with ice cubes and topped with a fresh lemon slice for a zesty finish. The long straw adds a playful touch to the drink.
396,vesper,Alcoholic,cocktail,cocktail glass,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",https://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg,"['gin','vodka','lillet blanc']","['6 cl','1.5 cl','0.75 cl']","The Vesper, a sophisticated blend of gin, vodka, and Lillet Blanc, is a classic Martini variation. Created by Ian Fleming for his fictional spy James Bond, the Vesper��s dry, herbaceous profile with a touch of sweetness reflects the character��s refined tastes.","The cocktail has a rich amber color, likely indicating a mix of Lillet, Tanqueray Gin, and possibly some fruit flavors, served in a classic Martini glass. Its golden hue and smooth texture suggest it is a sophisticated pre-dinner drink ready to be savored."
397,victor,Alcoholic,ordinary drink,cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/voapgc1492976416.jpg,"['gin','sweet vermouth','brandy']","['1 1/2 oz','1/2 oz','1/2 oz']","The Victor, a blend of gin, sweet vermouth, and brandy, is a member of the classic Manhattan family, a group of cocktails that often feature whiskey or brandy as a base, fortified with sweet vermouth. Its origins are shrouded in mystery, but likely emerged from the 19th century American bar scene.","The cocktail appears to be a warm amber hue, served elegantly in a classic martini glass, garnished with three vibrant lemon twists for a burst of citrus flavor."
398,vampiro,Alcoholic,ordinary drink,old-fashioned glass,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",https://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,"['tequila','tomato juice','orange juice','lime juice','sugar syrup','salt']","['6 cl','3 cl','3 cl','1.5 cl','1 dash','1 pinch']","The Vampiro belongs to the?Bloody Mary family, a group of tomato-based cocktails. Originating in?Mexico, this refreshing drink blends the savory tang of tomato with the bright acidity of citrus and the kick of tequila.","The vibrant red cocktail is served in a clear glass jar, garnished with a fresh green lime wedge and a dried red chili pepper."
399,vesuvio,Alcoholic,ordinary drink,old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",https://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg,"['light rum','sweet vermouth','lemon','powdered sugar','egg white']","['1 oz','1/2 oz','juice of 1/2','1 tsp','1']","The Vesuvio, a classic from the early 20th century, is a member of the Sour family. This Cuban cocktail, popularized in Havana��s famed Hotel Nacional, blends rum��s sweetness with the tartness of lemon and vermouth, creating a smooth, frothy delight.","The cocktail is presented in a elegant coupe glass filled with a pale yellow liquid, suggesting it might be a fruity or citrus-based drink. It_ garnished subtly, reflecting a sophisticated presentation suitable for a classic or cosmopolitan taste profile."
400,veteran,Alcoholic,ordinary drink,old-fashioned glass,Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/iwml9t1492976255.jpg,"['dark rum','cherry brandy']","['2 oz','1/2 oz']","The Veteran belongs to the?Old Fashioned?cocktail family, known for its simplicity and bold flavors. This drink likely originated in the?late 19th or early 20th century, during the golden age of cocktails, when rum and cherry brandy were popular ingredients.","The cocktail is a rich amber, served in a classic rocks glass, topped with a vibrant red cherry and a lemon twist, creating a visually appealing contrast."
401,van vleet,Alcoholic,ordinary drink,old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",https://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg,"['light rum','maple syrup','lemon juice']","['3 oz','1 oz','1 oz']","The Van Vleet is a refreshing twist on the classic Daiquiri family, with a maple syrup sweetness replacing the traditional sugar. Its origin is unknown, likely a modern invention drawing on the popular rum and citrus combinations.","The cocktail is served in a lowball glass filled with a light yellow liquid, garnished with a lemon twist, giving it a fresh and zesty look."
